id,de,fr,ja,ko,sentiment,hashtags,user_mentions,author_followers_count,author_friends_count,author_statuses_count,retweet_count,favorite_count,ADJ,ADV,CC,CS,ET,I,NC,NP,PREF,PRO,V,PUNC
1113042848314810373,0,1,0,0,0.891514,0,0,221,174,4856,758,605,3,1,0,1,0,0,6,1,0,0,3,3
1113043104322539520,0,1,0,0,-0.94435,0,0,221,260,10267,5743,6051,3,0,0,0,0,0,4,0,0,0,2,2
1113054233790767110,0,1,0,0,-0.947505,0,0,2117,73,81341,8958,11325,3,0,0,0,0,0,6,0,0,1,3,0
1113077803879161856,0,1,0,0,0.0,0,2,32989,47,2958,171,967,5,3,1,0,0,0,3,1,0,0,1,3
1113212371332366338,1,0,0,0,-0.819664,0,0,51887,836,4066,55,180,2,2,0,1,0,0,4,2,1,2,3,2
1113366480073179136,0,1,0,0,0.0,0,3,1385,334,617,179,368,0,0,0,0,0,2,2,2,0,1,3,4
1113395343645925376,1,0,0,0,0.0,0,0,21190,4220,112650,64,425,4,2,0,0,0,0,3,0,1,2,3,2
1113422896947503104,0,1,0,0,0.0,0,2,17531,1160,6344,3,8,0,1,1,0,0,0,4,1,0,0,0,2
1113442192486424576,0,0,1,0,0.929947,0,0,113,54,166,1,0,3,1,0,0,0,0,26,1,3,0,18,12
1113468542362574848,1,0,0,0,-0.905729,0,0,283,185,6478,1,0,3,1,0,0,0,0,3,1,1,2,4,4
1113474971823747074,0,1,0,0,0.0,0,0,667,35,13568,2,0,2,1,0,0,0,0,5,1,0,2,2,3
1113476041161543681,0,1,0,0,0.0,0,0,243,0,120,0,0,2,1,3,0,1,0,9,7,0,0,5,4
1113476041505476608,0,1,0,0,0.413386,0,3,186,850,3192,0,0,1,2,1,0,0,0,3,0,0,0,2,3
1113476533262462977,1,0,0,0,-0.807259,0,2,605,482,15423,0,0,2,2,0,1,0,0,3,0,1,6,5,0
1113476670579728385,1,0,0,0,0.0,0,2,34,64,138,0,0,6,5,2,0,0,0,5,1,6,3,8,1
1113476827077648384,1,0,0,0,-0.621989,0,0,5117,571,3024,0,0,1,3,1,0,0,0,11,0,5,6,7,5
1113477196725870593,1,0,0,0,-0.505105,0,1,3,6,616,0,0,6,3,2,0,0,0,5,0,4,6,7,1
1113477225008062464,1,0,0,0,0.403,0,0,50,15,145,0,0,4,6,0,0,1,0,7,2,5,6,8,6
1113477282713284610,1,0,0,0,0.787563,0,1,6,110,54,0,0,1,1,0,0,0,0,3,2,0,0,3,2
1113477402150166528,0,0,0,1,-0.341991,0,0,9375,303,97372,0,0,7,4,0,1,0,0,12,1,0,3,4,2
1113477408059940864,0,0,0,1,-0.936197,0,0,109,117,1265,0,0,3,0,0,0,0,1,8,1,0,0,3,0
1113477428943290368,0,0,1,0,0.636057,0,0,214,368,20148,0,0,1,1,0,0,0,0,4,0,0,0,6,2
1113477429031428097,0,0,1,0,0.862952,0,0,4180,1774,54269,0,0,1,2,0,0,0,1,5,0,1,0,15,4
1113477429471797248,0,0,1,0,-0.777497,0,0,7,5,80432,0,0,3,0,0,0,0,1,4,0,0,1,7,3
1113477429928947712,0,0,1,0,-0.975525,0,0,84,143,7097,0,0,1,0,0,0,0,0,2,0,0,0,3,0
1113477430805561344,0,0,1,0,-0.54874,0,0,2694,247,1886,0,0,3,4,0,0,0,0,18,0,0,1,28,2
1113477431858421760,0,0,1,0,-0.477694,0,1,546,715,2973,0,0,1,0,0,0,0,0,4,0,0,0,14,0
1113477431963160576,0,0,1,0,0.528093,0,1,357,390,257,0,0,3,2,0,0,0,0,9,2,1,2,17,10
1113477432072237057,0,0,1,0,0.0,0,0,302,149,38638,0,0,2,0,0,0,0,0,0,0,0,0,4,0
1113477432072331264,0,0,1,0,-0.447882,0,0,198,163,9108,0,0,2,2,0,0,0,0,13,2,0,0,15,1
1113477472048361472,1,0,0,0,0.0,0,1,732,948,16521,0,0,3,2,1,0,0,0,6,1,2,2,3,3
